Date,Adj Close,Volume
2019/02/27,107.010002,471400
2019/02/26,107.57,327300
2019/02/25,107.330002,408200
2019/02/22,108.32,337100
2019/02/21,106.980003,298400
2019/02/20,106.860001,730400
2019/02/19,106.739998,292700
2019/02/15,106.82,328800
2019/02/14,105.940002,494900
2019/02/13,105.260002,385100
2019/02/12,104.629997,794300
2019/02/11,104.089996,636500
2019/02/08,104.029999,724500
2019/02/07,103.459999,659600
2019/02/06,105.269997,349900
2019/02/05,106.269997,709500
2019/02/04,104.209999,564900
2019/02/01,103.949997,566200
2019/01/31,103.419998,1027200
2019/01/30,102.519997,1275500
2019/01/29,102.690002,2048500
2019/01/28,106.940002,2299600
2019/01/25,106.010002,1036500
2019/01/24,105.400002,1999100
2019/01/23,104.099998,539100
2019/01/22,103.330002,680400
2019/01/18,105.739998,484400
2019/01/17,103.629997,338000
2019/01/16,102.25,442500
2019/01/15,102.43,443100
2019/01/14,101.110001,629000
2019/01/11,101.980003,576900
2019/01/10,103.339996,663800
2019/01/09,102.650002,516400
2019/01/08,101.269997,548600
2019/01/07,99.709999,861600
2019/01/04,98.739998,1038100
2019/01/03,95.459999,807800
2019/01/02,99.18,506300
2018/12/31,99.550003,429300
2018/12/28,99.199997,534500
2018/12/27,98.989998,978900
2018/12/26,98.379997,559000
2018/12/24,95,405500
2018/12/21,96.139999,2155000
2018/12/20,100.099998,854000
2018/12/19,100.110001,854400
2018/12/18,100.080002,724800
2018/12/17,99.620003,789900
2018/12/14,100.989998,673500
2018/12/13,103.459999,1071800
2018/12/12,103.339996,830900
2018/12/11,101.559998,981800
2018/12/10,101.900002,871700
2018/12/07,100.720001,683700
2018/12/06,101.510002,1596300
2018/12/04,102.910004,884200
2018/12/03,105.290001,666900
2018/11/30,103.68,698900
2018/11/29,103.989998,782600
2018/11/28,104.910004,695900
2018/11/27,101.860001,764200
2018/11/26,102.739998,832300
2018/11/23,100.989998,524800
2018/11/21,101.510002,890800
2018/11/20,99.980003,936300
2018/11/19,101.580002,1704300
2018/11/16,104.599998,1112300
2018/11/15,105.480003,760000
2018/11/14,103.830002,789300
2018/11/13,103.730003,1828900
2018/11/12,101.419998,1350400
2018/11/09,108.309998,912500
2018/11/08,107.610001,1311000
2018/11/07,109.489998,981800
2018/11/06,106.900002,601200
2018/11/05,107.620003,523400
2018/11/02,107.629997,563600
2018/11/01,106.669998,760600
2018/10/31,107.260002,827000
2018/10/30,105.589996,877800
2018/10/29,104.279999,788000
2018/10/26,105.410004,782000
2018/10/25,106.540001,1087100
2018/10/24,103.370003,1336100
2018/10/23,107.739998,980000
2018/10/22,108.620003,1098100
2018/10/19,109.019997,1064200
2018/10/18,107.010002,2493100
2018/10/17,115.790001,963300
2018/10/16,117.419998,2058900
2018/10/15,113.25,726800
2018/10/12,114.529999,967400
2018/10/11,112.910004,2087900
2018/10/10,113.010002,2665200
2018/10/09,119.379997,1796100
2018/10/08,117.330002,1522400
2018/10/05,120.089996,528100
2018/10/04,122.059998,536500
2018/10/03,122.769997,359500
2018/10/02,122.209999,627800
2018/10/01,123.269997,520600
2018/09/28,123,1342000
2018/09/27,125.360001,855800
2018/09/26,126.169998,866100
2018/09/25,126.610001,2447800
2018/09/24,122.040001,424800
2018/09/21,121.639999,715800
2018/09/20,120.129997,835500
2018/09/19,119.489998,770400
2018/09/18,120.279999,490800
2018/09/17,119.790001,1791100
2018/09/14,121.400002,429400
2018/09/13,121.169998,723700
2018/09/12,121.050003,655100
2018/09/11,119.290001,395400
2018/09/10,118.260002,533100
2018/09/07,116.519997,569000
2018/09/06,115.330002,618500
2018/09/05,115.410004,863700
2018/09/04,118.379997,926400
2018/08/31,119.739998,443700
2018/08/30,121.230003,716300
2018/08/29,122.050003,1498900
2018/08/28,122.029999,493800
2018/08/27,122.209999,394800
2018/08/24,120.900002,324600
2018/08/23,119.290001,525500
2018/08/22,119.080002,829900
2018/08/21,117.980003,426100
2018/08/20,117.699997,748300
2018/08/17,116.900002,468700
2018/08/16,116.080002,877900
2018/08/15,113.220001,1340500
2018/08/14,114.169998,690300
2018/08/13,114.099998,635900
2018/08/10,112.860001,820000
2018/08/09,115.690002,457500
2018/08/08,116.019997,330400
2018/08/07,115.589996,321900
2018/08/06,115.239998,290500
2018/08/03,115.709999,448600
2018/08/02,115.57,751100
2018/08/01,115.949997,1039400
2018/07/31,116.040001,1363500
2018/07/30,116.769997,708400
