Date,Adj Close,Volume
2019/02/27,35.580002,885400
2019/02/26,34.77,673700
2019/02/25,34.400002,1680400
2019/02/22,35.540001,1890600
2019/02/21,34.939999,1793200
2019/02/20,33.349998,404400
2019/02/19,33.360001,318000
2019/02/15,33.66,186500
2019/02/14,33.700001,388900
2019/02/13,33.810001,263400
2019/02/12,33.099998,446400
2019/02/11,32.610001,526000
2019/02/08,32.880001,276000
2019/02/07,33.259998,345100
2019/02/06,33.529999,543300
2019/02/05,35.84,222500
2019/02/04,36.73,220800
2019/02/01,35.419998,572800
2019/01/31,37.240002,769600
2019/01/30,38.700001,428400
2019/01/29,38.16,465300
2019/01/28,37,469800
2019/01/25,38.700001,358300
2019/01/24,38.740002,163800
2019/01/23,38.290001,291000
2019/01/22,38.02,600300
2019/01/18,39.25,419600
2019/01/17,38.099998,293000
2019/01/16,36.720001,506100
2019/01/15,36.720001,696100
2019/01/14,35.52,633800
2019/01/11,34.84,144900
2019/01/10,34.889999,343400
2019/01/09,35.5,298700
2019/01/08,34.740002,241400
2019/01/07,34.41,244900
2019/01/04,33.650002,400300
2019/01/03,33.25,210800
2019/01/02,33.529999,206900
2018/12/31,33.099998,298200
2018/12/28,32.959999,262000
2018/12/27,32.900002,238700
2018/12/26,32.700001,517700
2018/12/24,31.530001,245200
2018/12/21,31.91,557200
2018/12/20,33.919998,744100
2018/12/19,32.759998,673600
2018/12/18,34.490002,243500
2018/12/17,34.73,488000
2018/12/14,35.130001,355800
2018/12/13,35.970001,341000
2018/12/12,35.900002,1079800
2018/12/11,35.860001,784600
2018/12/10,36.299999,598900
2018/12/07,35.889999,275800
2018/12/06,35.599998,665800
2018/12/04,35.720001,1048300
2018/12/03,38.400002,357400
2018/11/30,37.869999,307900
2018/11/29,38.380001,247100
2018/11/28,37.5,519000
2018/11/27,36.099998,182500
2018/11/26,36.189999,270100
2018/11/23,35.029999,184800
2018/11/21,34.82,545500
2018/11/20,33.950001,564400
2018/11/19,36.139999,373000
2018/11/16,36,611600
2018/11/15,38.52,424100
2018/11/14,38.669998,196500
2018/11/13,38.73,209100
2018/11/12,38.91,380800
2018/11/09,40.099998,1079800
2018/11/08,40.830002,88600
2018/11/07,40.310001,178400
2018/11/06,38.900002,154800
2018/11/05,38.709999,213400
2018/11/02,39.240002,154900
2018/11/01,39.389999,268200
2018/10/31,39.130001,531200
2018/10/30,37.400002,1046300
2018/10/29,38.139999,590300
2018/10/26,38.880001,155900
2018/10/25,40.18,688500
2018/10/24,40.080002,265900
2018/10/23,41.650002,174800
2018/10/22,41.93,107600
2018/10/19,41.75,442100
2018/10/18,43.43,102400
2018/10/17,44.099998,148900
2018/10/16,44.560001,226000
2018/10/15,43.599998,269800
2018/10/12,44.099998,513000
2018/10/11,42.790001,493200
2018/10/10,43.150002,292400
2018/10/09,44.400002,154400
2018/10/08,44.869999,160900
2018/10/05,45.150002,138700
2018/10/04,44.200001,427300
2018/10/03,45.5,125800
2018/10/02,46.32,126800
2018/10/01,46.360001,154100
2018/09/28,45.470001,170200
2018/09/27,45.549999,216400
2018/09/26,45.533237,139300
2018/09/25,45.931602,213100
2018/09/24,45.642788,367600
2018/09/21,46.021233,347900
2018/09/20,45.961483,989000
2018/09/19,44.457649,257400
2018/09/18,43.93977,451700
2018/09/17,42.55545,146100
2018/09/14,42.42598,344900
2018/09/13,43.421894,346800
2018/09/12,44.328178,263100
2018/09/11,43.840179,195100
2018/09/10,43.372101,52600
2018/09/07,43.302387,214200
2018/09/06,42.874142,285700
2018/09/05,43.212753,738500
2018/09/04,44.138954,247200
2018/08/31,44.766384,336100
2018/08/30,44.55724,563000
2018/08/29,43.909893,204600
2018/08/28,43.372101,193200
2018/08/27,43.631039,186000
2018/08/24,42.525574,129500
2018/08/23,41.908108,316500
2018/08/22,42.525574,134000
2018/08/21,41.997738,142500
2018/08/20,41.539616,224700
2018/08/17,40.095539,164600
2018/08/16,38.9104,216200
2018/08/15,38.761013,486900
2018/08/14,40.155296,255800
2018/08/13,40.364437,255600
2018/08/10,40.742886,299200
2018/08/09,41.7388,92800
2018/08/08,41.410149,403800
2018/08/07,41.818474,273500
2018/08/06,41.469902,420000
2018/08/03,43.083282,165100
2018/08/02,42.923939,169300
2018/08/01,43.601158,408400
2018/07/31,42.495693,567800
2018/07/30,41.0317,1742400
2018/07/27,42.127205,204900
2018/07/26,42.007698,209800
2018/07/25,41.977821,182900
2018/07/24,41.430065,342400
2018/07/23,40.732925,116400
2018/07/20,41.410149,95000
2018/07/19,41.260761,567000
2018/07/18,40.613415,519200
2018/07/17,41.62925,333800
2018/07/16,41.868271,534500
2018/07/13,40.165257,209600
2018/07/12,39.816685,217900
2018/07/11,39.527866,230100
2018/07/10,39.846561,244600
2018/07/09,40.772762,325200
2018/07/06,39.209175,454800
2018/07/05,39.40836,385600
2018/07/03,40.593494,155000
2018/07/02,40.095539,271700
2018/06/29,40.623375,538600
2018/06/28,40.852436,366400
2018/06/27,39.766888,478200
2018/06/26,40.812599,170300
2018/06/25,40.543701,233100
2018/06/22,41.270718,168700
2018/06/21,41.091454,284600
2018/06/20,41.579453,729800
2018/06/19,40.713009,644800
2018/06/18,41.479862,922900
2018/06/15,42.814388,1107300
2018/06/14,42.386147,962000
2018/06/13,44.148914,880000
2018/06/12,46.887684,850100
2018/06/11,47.435436,377000
2018/06/08,47.325886,346100
2018/06/07,46.120827,515000
2018/06/06,44.905811,726400
2018/06/05,46.578949,453800
2018/06/04,46.857803,959600
2018/06/01,49.845547,600400
2018/05/31,50.831505,318800
2018/05/30,51.13028,491300
2018/05/29,48.20229,346400
2018/05/25,48.042942,360700
2018/05/24,47.724247,792500
2018/05/23,48.99902,334800
2018/05/22,49.556732,254000
2018/05/21,49.70612,279000
2018/05/18,50.960972,436700
2018/05/17,52.285542,67200
2018/05/16,51.966846,128600
2018/05/15,51.797539,203700
2018/05/14,52.04652,173200
2018/05/11,52.434929,314000
2018/05/10,51.93697,543900
2018/05/09,52.932888,471700
2018/05/08,54.197697,477200
2018/05/07,53.311333,192700
2018/05/04,53.191822,187700
2018/05/03,52.355255,167400
2018/05/02,51.807503,297700
2018/05/01,52.783497,283100
2018/04/30,52.265621,121500
2018/04/27,52.215828,402800
2018/04/26,51.34938,776600
2018/04/25,52.634109,451400
2018/04/24,51.807503,574300
2018/04/23,53.231659,315100
2018/04/20,53.052395,621400
2018/04/19,50.990852,245400
2018/04/18,51.598362,219200
2018/04/17,51.468891,1810800
2018/04/16,51.638195,374000
2018/04/13,52.215828,190300
2018/04/12,52.564396,259300
2018/04/11,52.026604,267700
2018/04/10,52.514599,545100
2018/04/09,52.693867,258100
2018/04/06,51.568481,529400
2018/04/05,52.813374,311900
2018/04/04,53.410927,479000
2018/04/03,54.566185,178400
