Date,BitCoin,Ethereum,Microsoft_Close,Apple_Close,HP_Close,IBM_Close,Samsung_Close,Johnson.Johnson_Close,Pfizer_Close,Roche_Close,Merck_Close,EA_Close,NTDOY_Close,AMZN_Close,CAT_Close,FDX_Close,ORCL_Close,SAP_Close,SIEGY_Close,UPS_Close,WMT_Close,CAG_Close,GIS_Close,MKC_Close,BAC_Close,C_Close,GS_Close,HSBC_Close,JPM_Close,MS_Close
10/1/13,3799.678543,134.8225062,29.427307,56.674255,56.336475,151.080109,34.716709,75.255547,23.780046,32.681664,41.363445,26.42,13.383025,320.950012,69.391151,110.748245,30.898027,67.334274,40.995556,40.995556,64.259727,20.078758,39.466682,58.043343,12.901519,45.930481,147.496475,39.495396,44.781948,24.544609
10/2/13,3772.936335,131.6677685,29.725256,56.860092,57.122906,149.929062,34.906116,75.100693,23.878822,33.154194,41.049435,25.620001,13.006304,320.51001,69.647987,110.767456,31.064045,68.16375,41.223515,41.223515,64.373253,20.151154,39.491364,57.962822,13.050028,46.034439,147.190369,39.430363,45.224731,24.526522
10/3/13,3797.58179,135.7434191,29.672684,56.145794,57.686905,149.037369,34.635525,74.489838,23.681273,32.80703,41.040958,25.08,13.025139,314.76001,69.56514,109.105164,30.658224,67.562157,40.589199,40.589199,63.884262,20.006363,39.178791,57.621071,12.99434,45.74147,145.502075,39.300297,45.09449,24.282347
10/4/13,3819.865341,138.0371413,29.690199,56.101662,58.544815,149.231918,34.635525,75.117905,23.87059,32.594872,40.930626,25.76,13.241755,319.040009,69.755676,110.238976,30.741537,66.942307,40.65197,40.65197,63.569901,19.986624,39.44202,58.151688,13.040747,46.440819,145.22374,39.567646,45.728283,24.408955
10/7/13,3933.60759,146.6658012,29.181934,56.649872,57.265884,147.537766,34.797878,74.498444,23.557808,33.077045,40.64209,25.25,13.053391,310.029999,69.200607,109.2397,30.399035,65.146614,40.159718,40.159718,62.757809,19.966887,39.474926,58.358521,12.817986,45.533558,143.090179,39.126888,44.999004,24.273294
10/8/13,3889.758485,142.8699894,28.927794,55.85891,57.051411,144.87088,34.473171,73.655296,23.245016,33.202412,40.523273,24.07,13.034557,303.230011,68.637253,107.692741,29.963972,64.663498,39.971405,39.971405,63.657211,19.802359,39.309093,58.484444,12.706605,45.051575,141.976974,38.649994,44.16552,24.01103
10/9/13,3924.739844,145.548254,28.980375,56.515137,56.487404,146.978424,33.931988,73.956406,23.286175,33.077045,40.115921,24.15,13.213501,298.230011,69.192337,108.173157,29.797348,65.046341,39.621216,39.621216,63.744553,19.868172,39.532955,58.160671,12.84583,45.316181,143.266449,38.837856,44.06134,24.209993
10/10/13,3904.48292,144.1606666,29.585045,56.869381,58.123814,149.77504,33.066097,75.522278,23.681273,32.999897,40.302631,25.219999,13.627893,305.170013,70.194771,110.556061,30.537886,65.830254,40.787418,40.787418,65.30761,20.256447,40.171387,59.599628,13.207816,46.563686,146.578125,39.415913,45.598064,24.996798
10/11/13,3865.318165,142.6179951,29.909288,57.237564,58.767239,150.901779,32.930813,76.959061,23.640114,33.144547,40.132893,24.719999,13.656147,310.890015,70.923805,111.334366,30.787817,67.224884,41.041805,41.041805,65.333786,20.302513,40.088474,59.608635,13.17069,46.516434,148.424164,39.993961,45.589371,25.277153
10/14/13,3566.247765,120.2850568,30.18972,57.612717,59.664871,151.558365,33.282578,77.260178,24.158682,32.749168,39.674622,24.59,13.74091,310.700012,71.445724,110.853943,30.806339,66.905853,41.097973,41.097973,65.211563,20.243286,40.080189,59.752522,13.319196,46.875557,147.923233,40.174606,45.763016,25.485153
10/15/13,3558.396858,119.8093875,30.224771,57.919342,59.243858,149.685867,33.336697,77.372032,24.002289,32.932396,39.52187,23.969999,13.392442,306.399994,71.03978,115.379555,30.315731,65.930527,40.242313,40.242313,64.940826,20.24987,39.723648,59.239891,13.217097,46.176205,146.225632,39.5243,45.415745,25.313324
