Date,Adj Close,Volume
2019/02/27,134.75,762100
2019/02/26,133.039993,743200
2019/02/25,133.429993,1344100
2019/02/22,135.740005,1957300
2019/02/21,133.759995,1745900
2019/02/20,130.419998,1015500
2019/02/19,129.690002,1330200
2019/02/15,128.470001,1916100
2019/02/14,127.400002,929700
2019/02/13,128.589996,967700
2019/02/12,128.75,1305400
2019/02/11,127.489998,1253800
2019/02/08,126.690002,1368700
2019/02/07,124.849998,1100200
2019/02/06,123.160004,988900
2019/02/05,124.790001,1993600
2019/02/04,121.779999,2185900
2019/02/01,123.059998,1411200
2019/01/31,123.639999,2147600
2019/01/30,122.620003,1591400
2019/01/29,121.190002,1624100
2019/01/28,121.849998,2241500
2019/01/25,121.360001,3040300
2019/01/24,124.349998,7640500
2019/01/23,139,1177300
2019/01/22,138.800003,1727900
2019/01/18,139.440002,1604500
2019/01/17,140.479996,923200
2019/01/16,139.570007,1212100
2019/01/15,140.789993,763000
2019/01/14,139.389999,966400
2019/01/11,140.119995,949000
2019/01/10,140.880005,1237600
2019/01/09,140.289993,1045800
2019/01/08,140.300003,1225800
2019/01/07,137.839996,1330400
2019/01/04,136.669998,1445300
2019/01/03,136.259995,1153100
2019/01/02,135.619995,1838500
2018/12/31,139.240005,658300
2018/12/28,139.009995,1293100
2018/12/27,139.469986,1005800
2018/12/26,137.776917,845100
2018/12/24,133.504379,712800
2018/12/21,137.577728,2156000
2018/12/20,138.484024,2253900
2018/12/19,141.372223,2681800
2018/12/18,145.087036,1529000
2018/12/17,145.535217,1812200
2018/12/14,150.953079,1060100
2018/12/13,155.195724,866700
2018/12/12,154.259552,1140600
2018/12/11,152.287613,924400
2018/12/10,150.634369,1153300
2018/12/07,149.777863,783300
2018/12/06,151.012833,1285800
2018/12/04,150.9431,1053100
2018/12/03,150.883347,1149100
2018/11/30,149.389465,1338100
2018/11/29,148.443329,881000
2018/11/28,147.357773,912500
2018/11/27,146.521179,1146600
2018/11/26,144.150879,1489500
2018/11/23,144.589066,919500
2018/11/21,143.852097,1367900
2018/11/20,146.073013,1335000
2018/11/19,148.542908,935300
2018/11/16,149.389465,1871800
2018/11/15,148.034988,1390600
2018/11/14,147.088867,1351000
2018/11/13,147.60675,1625000
2018/11/12,148.622589,1264700
2018/11/09,149.787827,1171700
2018/11/08,150.723999,1044900
2018/11/07,149.399414,1085300
2018/11/06,147.895569,908400
2018/11/05,146.252289,973500
2018/11/02,142.876083,1352100
2018/11/01,144.608994,1275700
2018/10/31,143.413879,1986900
2018/10/30,144.160828,1662900
2018/10/29,139.858398,797500
2018/10/26,137.826706,1221800
2018/10/25,139.101501,1522300
2018/10/24,140.714905,1182700
2018/10/23,140.455963,1033800
2018/10/22,140.834427,981500
2018/10/19,140.077515,1322800
2018/10/18,136.910461,618900
2018/10/17,137.129562,958000
2018/10/16,136.482208,748800
2018/10/15,133.72348,606000
2018/10/12,132.279388,1246000
2018/10/11,131.134064,1082400
2018/10/10,133.753357,1037700
2018/10/09,135.267181,683900
2018/10/08,135.516159,845400
2018/10/05,135.197464,823600
2018/10/04,134.63974,1155200
2018/10/03,132.963074,1270300
2018/10/02,132.347961,1736300
2018/10/01,131.574112,828400
2018/09/28,130.710968,1131200
2018/09/27,127.278252,1759500
2018/09/26,128.865646,1263400
2018/09/25,128.250534,758400
2018/09/24,128.597763,560100
2018/09/21,129.193039,1101600
2018/09/20,129.07399,729000
2018/09/19,128.865646,607500
2018/09/18,130.205002,569100
2018/09/17,131.623703,591600
2018/09/14,131.246704,540600
2018/09/13,130.244675,786100
2018/09/12,130.135544,809200
2018/09/11,129.173187,926400
2018/09/10,130.47287,581200
2018/09/07,129.570038,990900
2018/09/06,128.538239,1008100
2018/09/05,126.722679,589500
2018/09/04,125.244423,599300
2018/08/31,123.895149,546500
2018/08/30,122.684769,416000
2018/08/29,123.250275,455400
2018/08/28,122.158951,407400
2018/08/27,122.764137,447400
2018/08/24,123.280037,312700
2018/08/23,122.962563,446500
2018/08/22,122.595474,464600
2018/08/21,122.883194,745700
2018/08/20,125.532135,803300
2018/08/17,125.403168,629700
2018/08/16,124.401123,1264600
2018/08/15,123.151062,781800
2018/08/14,121.107315,578400
2018/08/13,120.125122,400000
2018/08/10,120.045746,464100
2018/08/09,119.867172,555000
2018/08/08,120.383064,605100
2018/08/07,120.015991,1361700
2018/08/06,120.898972,489100
2018/08/03,120.561646,845900
2018/08/02,118.686546,715400
2018/08/01,116.533669,682400
2018/07/31,116.613037,973800
2018/07/30,115.759819,932700
2018/07/27,116.811462,580300
2018/07/26,117.843254,775200
2018/07/25,116.751938,794500
2018/07/24,116.245956,858100
2018/07/23,116.275719,552200
2018/07/20,116.900757,611400
2018/07/19,117.188461,666100
2018/07/18,116.593193,625600
2018/07/17,118.478203,621400
2018/07/16,117.535698,717100
2018/07/13,118.200417,543200
2018/07/12,117.109093,612400
2018/07/11,117.376961,833900
2018/07/10,116.990036,1031800
2018/07/09,118.73616,1152200
2018/07/06,118.438522,1291700
2018/07/05,116.672562,1640800
2018/07/03,113.896996,946000
2018/07/02,114.262466,1586900
2018/06/29,114.667442,2113600
2018/06/28,113.422882,4155800
2018/06/27,104.631943,1207500
2018/06/26,105.234474,1060400
2018/06/25,105.550545,986900
2018/06/22,104.789978,1877700
2018/06/21,103.782478,713500
2018/06/20,104.513405,850400
2018/06/19,104.454147,911800
2018/06/18,104.256599,729700
2018/06/15,105.096191,1338300
2018/06/14,104.562805,829500
2018/06/13,103.436768,718800
2018/06/12,103.891129,692400
2018/06/11,103.881256,1296000
2018/06/08,102.21196,1085600
2018/06/07,99.811745,995400
2018/06/06,99.959908,1073500
2018/06/05,99.604317,882400
2018/06/04,99.98954,772200
2018/06/01,99.278366,1131500
2018/05/31,99.762352,1398900
2018/05/30,102.745338,817700
2018/05/29,101.688454,680400
2018/05/25,102.172455,668800
2018/05/24,101.925514,596600
2018/05/23,101.727966,784600
2018/05/22,101.06617,892300
2018/05/21,101.658821,847300
2018/05/18,101.688454,1834800
2018/05/17,103.861496,1034500
2018/05/16,105.313492,617400
2018/05/15,104.671455,757300
2018/05/14,105.619682,566700
2018/05/11,105.70858,815000
2018/05/10,106.083923,812400
2018/05/09,104.068924,540600
2018/05/08,103.110809,804300
2018/05/07,102.774979,535000
2018/05/04,101.935394,684800
2018/05/03,99.791985,1089100
2018/05/02,100.374756,1275100
2018/05/01,103.417015,806000
2018/04/30,104.118317,1393000
2018/04/27,105.382637,754600
2018/04/26,105.540672,1002000
2018/04/25,103.901009,1044800
2018/04/24,102.389755,720800
2018/04/23,102.498405,721800
2018/04/20,101.974899,1569100
2018/04/19,105.145569,808200
2018/04/18,106.804977,512100
2018/04/17,107.121056,869200
2018/04/16,105.945641,609200
2018/04/13,104.50354,707300
2018/04/12,103.792358,914300
2018/04/11,105.283852,825600
2018/04/10,104.424515,983800
2018/04/09,104.128189,943100
2018/04/06,102.923134,928800
2018/04/05,103.49604,808700
2018/04/04,103.240486,1173600
2018/04/03,102.247795,1622500
2018/04/02,102.051216,1318600
2018/03/29,104.567352,1216300
2018/03/28,104.134895,2525400
2018/03/27,105.510918,2346700
2018/03/26,105.137428,1759700
2018/03/23,103.908844,1106500
2018/03/22,104.734444,1070700
2018/03/21,105.20623,1151900
2018/03/20,105.904053,677800
2018/03/19,106.022011,700400
2018/03/16,105.963028,1279500
2018/03/15,107.103165,647600
2018/03/14,108.665924,776900
2018/03/13,108.842834,655700
2018/03/12,108.793701,555500
2018/03/09,108.646263,1270200
2018/03/08,107.742035,602600
2018/03/07,107.319397,797900
2018/03/06,108.174492,920300
2018/03/05,107.85997,1236800
2018/03/02,106.434822,648800
2018/03/01,104.911362,1283600
2018/02/28,104.950676,1242000
2018/02/27,104.763931,1068800
2018/02/26,105.579712,1106000
2018/02/23,104.400269,888600
2018/02/22,103.260139,948400
2018/02/21,102.277275,820900
2018/02/20,102.808022,900300
2018/02/16,103.692604,588000
2018/02/15,103.014427,592300
2018/02/14,101.982414,626000
2018/02/13,100.950401,594500
2018/02/12,100.547432,697100
2018/02/09,100.095306,1063000
2018/02/08,99.623528,1095600
2018/02/07,100.901268,1034600
2018/02/06,100.704689,1603800
2018/02/05,99.790619,1601600
2018/02/02,101.785843,1246500
2018/02/01,105.678001,1226600
2018/01/31,106.906586,1899700
2018/01/30,106.120293,1239300
2018/01/29,105.933548,1454100
2018/01/26,105.6092,1560400
2018/01/25,103.289627,2780600
2018/01/24,98.37529,1781100
2018/01/23,97.195847,1423500
2018/01/22,97.43174,1281000
2018/01/19,97.490715,2891500
2018/01/18,101.146988,990500
2018/01/17,100.891441,690100
2018/01/16,99.554733,934400
2018/01/12,99.279533,572700
2018/01/11,99.269707,764700
2018/01/10,99.839767,548600
2018/01/09,101.353386,569500
2018/01/08,101.451668,732800
2018/01/05,101.343552,911100
2018/01/04,100.360687,761500
2018/01/03,99.731651,821600
2018/01/02,99.495766,868400
2017/12/29,100.164116,727300
2017/12/28,100.488457,880700
2017/12/27,99.869247,435800
2017/12/26,99.751907,347500
2017/12/22,99.663895,477900
2017/12/21,98.910942,625900
2017/12/20,99.155411,755500
2017/12/19,99.321648,673300
2017/12/18,99.438988,777500
2017/12/15,99.184746,1337100
2017/12/14,98.02108,587200
2017/12/13,98.725151,683900
2017/12/12,98.83271,975700
2017/12/11,98.294891,1207300
2017/12/08,98.920738,1037700
2017/12/07,99.879021,1066500
2017/12/06,100.720001,696400
2017/12/05,100.680878,1012500
2017/12/04,102.167236,974000
2017/12/01,100.573311,924700
2017/11/30,99.918144,1551900
2017/11/29,99.859474,1156400
2017/11/28,98.578461,945300
2017/11/27,97.903755,723100
2017/11/24,96.935654,214300
2017/11/22,96.818314,678900
2017/11/21,97.84507,869800
2017/11/20,97.864639,1017900
2017/11/17,97.131233,2322400
2017/11/16,97.346367,1359900
2017/11/15,94.354088,799100
2017/11/14,96.397835,1236500
2017/11/13,94.81369,782100
2017/11/10,94.774582,839600
2017/11/09,93.395798,831900
2017/11/08,94.295425,857300
2017/11/07,93.073097,1491300
2017/11/06,91.909439,1350400
2017/11/03,94.75502,1108700
2017/11/02,95.879578,883800
2017/11/01,97.639717,1298100
2017/10/31,97.326813,984900
2017/10/30,95.811119,913200
2017/10/27,97.160568,669200
2017/10/26,96.847656,626000
2017/10/25,96.681419,746300
2017/10/24,96.964989,747200
2017/10/23,97.023666,834300
2017/10/20,97.062782,948700
2017/10/19,97.170349,909700
2017/10/18,96.945442,655100
2017/10/17,96.974777,669500
2017/10/16,96.935654,520600
2017/10/13,96.329384,722300
2017/10/12,96.828094,641600
2017/10/11,96.11425,694200
2017/10/10,95.292839,919700
2017/10/09,94.686569,1228100
2017/10/06,96.006691,1559600
2017/10/05,95.683998,1713700
2017/10/04,97.095116,2263900
2017/10/03,95.450439,1770000
2017/10/02,97.095116,1615200
2017/09/29,99.888168,3181600
2017/09/28,98.924713,2599000
2017/09/27,93.864128,1371700
2017/09/26,94.671867,1061600
2017/09/25,94.185272,1107000
2017/09/22,93.484581,691100
2017/09/21,94.253395,698800
2017/09/20,95.100082,903500
2017/09/19,96.00515,800000
2017/09/18,96.277641,870600
2017/09/15,96.287376,2298800
2017/09/14,95.829971,907700
2017/09/13,95.722923,632800
2017/09/12,96.024605,1151900
2017/09/11,95.411507,964400
2017/09/08,94.983307,1029900
2017/09/07,94.039307,1099900
2017/09/06,94.924911,806000
2017/09/05,93.688957,737000
2017/09/01,93.562439,780200
2017/08/31,92.579514,805600
2017/08/30,93.017448,572900
2017/08/29,92.80336,684300
2017/08/28,92.112389,731800
2017/08/25,92.365417,812000
2017/08/24,92.238892,1027200
2017/08/23,94.457779,437200
2017/08/22,94.691338,799400
2017/08/21,93.650032,956800
2017/08/18,93.513786,688500
2017/08/17,94.039307,882000
2017/08/16,95.343384,1025800
2017/08/15,94.156082,1287100
2017/08/14,95.401772,1150100
2017/08/11,94.428581,1962600
2017/08/10,92.647629,1425300
2017/08/09,93.192627,5725900
2017/08/08,90.516365,1629600
2017/08/07,92.501656,429000
2017/08/04,91.976151,470800
2017/08/03,92.628189,567800
2017/08/02,93.066109,957500
2017/08/01,92.696312,619800
2017/07/31,92.744965,1045300
2017/07/28,92.959068,1012900
2017/07/27,92.696312,747700
2017/07/26,92.161049,1116200
2017/07/25,92.268097,1046800
2017/07/24,91.431152,1077900
2017/07/21,91.158653,1752300
2017/07/20,90.000572,1865900
2017/07/19,89.601563,4894600
2017/07/18,94.535629,915500
2017/07/17,94.671867,633400
